0.065,0.054,0.054,0.051,0.047
0.118243243,0.111486486,0.10472973,0.101351351,0.101351351
0.054744526,0.028503563,0.026533997,0.024311183,0.017953321
0.070017953,0.047738693,0.045558087,0.029471545,0.029471545
0.038338658,0.038095238,0.030555556,0.030555556,0.018062397
0.130434783,0.07755102,0.050403226,0.043697479,0.04145937
3202,3164,3136,3122,3042
3646,3624,3354,3210,3188
4500,4494,4494,4422,4180
4720,4602,4602,4536,4326
5578,5538,5538,4946,4600
6616,6590,6540,6512,6054
0.02,0.021,0.016,0.014,0.014
0.030456853,0.029610829,0.028764805,0.026226734,0.018894529
0.014501892,0.009159373,0.008454674,0.006495917,0.006495917
0.043978349,0.027409372,0.02044293,0.013007698,0.010021668
0.049564635,0.02283105,0.019,0.019,0.01429479
0.049295775,0.037366548,0.033232628,0.029344074,0.025050779
3908,3446,3346,3295,3164
3916,3628,3566,3542,3490
4636,4270,4198,4130,4020
4846,4604,4312,4214,4148
6692,6492,6258,5752,5122
7076,6866,6560,6432,6402
0.145015106,0.102,0.098,0.096676737,0.088
0.141993958,0.108761329,0.096676737,0.096676737,0.090634441
0.034745763,0.026271186,0.022033898,0.020338983,0.019491525
0.039806653,0.032045455,0.027726772,0.025170523,0.021170523
0.009962049,0.009458749,0.009166999,0.009166999,0.003330373
0.093413174,0.091017964,0.091017964,0.074251497,0.063473054
816,782,716,700,692
613,416,382,300,292
4074,3974,3968,3968,3766
5448,5300,4772,4748,4576
4420,4384,4094,4068,4068
4950,4762,4562,4544,4378
0.109,0.092,0.087632683,0.063,0.052
0.145652174,0.115366204,0.09346,0.079,0.067
0.113,0.03,0.023,0.024,0.023
0.259803922,0.247586422,0.198008299,0.197786386,0.194621923
0.137,0.103,0.095,0.073,0.044
0.178989016,0.114881426,0.114373985,0.08011444,0.06136346
0.03,0.013,0.027,0.056,0.029
1.730880231,0.867291564,0.787063267,0.645652174,0.518251103
0.001675596,0.007322692,0.009990358,0.009990358,0.103540513
3.31509299,2.397395283,2.294647733,1.880850048,1.591697546
0.093511793,0.018949871,0.018949871,0.01811603,0.006462552
2.994171688,2.72620035,2.684100228,2.170718319,1.922726616
